id,age,statut,bac_serie,cible,niveau_agronomie,niveau_algorithme,niveau_algèbre,niveau_analyse,niveau_analyse_mathématique,niveau_anglais,niveau_assainissement,niveau_autocad,niveau_bactériologie,niveau_base_de_données,niveau_biochimie,niveau_biologie_animale,niveau_biologie_cellulaire,niveau_botanique,niveau_chimie,niveau_comptabilité,niveau_dessin,niveau_droit,niveau_ecologie,niveau_economie,niveau_econométrie,niveau_electricité,niveau_electronique,niveau_environnement,niveau_enzymologie,niveau_finance_publique,niveau_fiscalité,niveau_français,niveau_génétique,niveau_géologie,niveau_html_css,niveau_hydraulique,niveau_hygiène,niveau_industries_pharmaceutiques,niveau_informatique,niveau_informatique_scientifique,niveau_langage_c,niveau_logique,niveau_macroéconomie_microéconomie,niveau_maintenance,niveau_marketing,niveau_mathématique_discrète,niveau_mathématique_financière,niveau_mathématiques,niveau_musique,niveau_mécanique,niveau_nutrition_humaine,niveau_organisation_dentreprise,niveau_ouvrages_métalliques,niveau_pharmacologie,niveau_physiologie_animale,niveau_physiologie_végétale,niveau_physique,niveau_probabilité_statistique,niveau_pétrologie,niveau_science_des_aliments,niveau_sites_touristiques,niveau_statistiques_appliquée,niveau_structure_de_données,niveau_structure_des_ordinateurs,niveau_technique_bancaire,niveau_thermodynamique,niveau_thermophysique,niveau_virologie,niveau_zootechnie,travail_equipe,autonomie,analyse_synthese,creativite,gestion_projet,environnement,secteur,filiere_nom
80,45,0,6,1,1,5,4,2,3,1,2,3,1,4,1,1,1,3,3,2,3,3,1,2,1,1,1,2,1,3,3,4,3,1,3,2,3,1,3,5,3,1,2,1,2,5,3,2,5,3,1,1,3,2,2,3,1,5,1,2,3,2,5,2,3,3,2,1,3,0,1,1,1,1,4,9,IMTICIA
81,20,0,2,5,2,3,2,2,1,5,3,2,3,1,1,3,2,3,1,5,3,4,3,5,1,3,3,2,3,4,3,4,2,2,3,2,1,1,3,3,1,1,1,1,4,1,1,2,1,1,1,5,3,2,3,3,3,3,2,1,2,1,3,3,4,1,1,3,2,0,1,0,1,1,4,12,FIC
82,44,0,2,1,3,3,4,1,3,3,1,1,3,3,3,2,1,1,3,3,1,3,3,1,3,3,3,2,3,1,3,5,2,3,4,3,3,2,1,3,3,3,2,3,2,5,1,3,5,2,2,3,2,2,2,3,2,5,3,1,3,3,3,2,3,3,2,2,2,1,1,0,0,1,3,8,IMTICIA
83,27,0,6,4,1,2,1,3,2,5,3,3,3,3,1,1,1,2,2,4,1,5,2,4,1,2,2,1,3,5,4,5,1,3,2,2,1,2,3,3,3,1,3,3,5,1,3,3,2,1,1,5,2,2,2,1,1,3,3,3,1,3,3,2,4,2,3,1,2,0,1,0,0,0,4,6,CAA
84,42,0,2,14,1,2,2,2,1,3,2,4,2,3,3,1,3,2,5,1,2,3,2,3,1,4,2,3,1,2,2,5,3,1,3,3,3,3,1,1,1,2,2,2,3,3,1,3,3,2,2,2,2,1,2,2,5,3,4,2,1,2,3,2,3,1,5,1,1,0,1,0,0,0,4,3,ICMP
85,45,1,1,4,2,3,1,2,2,4,1,2,1,3,3,1,1,3,3,5,3,5,3,4,3,3,3,1,2,4,5,3,1,2,1,3,3,2,1,2,3,1,1,2,5,3,3,2,1,1,2,5,1,2,3,3,1,2,2,3,3,1,1,1,5,3,3,1,1,0,1,1,1,1,4,0,CAA
86,39,0,3,11,4,3,2,4,3,4,2,1,5,1,4,5,5,3,4,1,3,2,3,3,3,3,3,1,5,1,3,3,5,2,3,2,2,3,3,1,3,1,3,3,3,1,1,2,3,3,3,1,2,1,4,5,1,3,3,3,1,1,2,1,3,4,2,5,5,1,1,1,0,0,0,2,AEE
87,42,1,3,0,3,5,5,1,5,1,1,3,1,4,1,3,2,1,3,5,3,3,2,1,2,2,2,1,1,1,1,3,2,1,4,2,1,3,3,3,3,1,1,2,3,4,5,2,1,2,2,4,3,3,2,3,2,5,3,3,3,3,5,3,3,3,1,3,1,1,1,0,0,1,5,0,IGGLIA
88,34,1,6,12,1,2,2,2,2,4,2,4,2,2,3,1,3,3,1,2,5,1,3,3,1,4,4,2,2,2,2,3,1,2,3,3,1,2,1,2,2,3,3,4,3,3,1,3,1,5,3,2,4,3,3,2,5,3,3,1,2,3,2,1,1,5,3,3,1,0,0,0,0,1,1,11,EMII
89,27,0,0,14,1,1,1,3,2,3,2,5,2,3,1,3,2,1,4,3,3,2,2,2,2,4,3,3,1,1,3,4,3,3,3,1,1,1,1,1,3,2,1,1,1,3,3,5,2,2,1,1,1,2,1,1,5,2,4,2,3,3,2,1,1,2,5,2,2,0,1,0,1,1,0,11,ICMP
90,28,0,2,8,3,1,3,4,1,5,3,3,4,2,5,5,5,2,5,1,3,3,2,3,3,3,2,2,4,3,1,5,5,1,1,1,1,2,5,1,3,1,3,2,2,1,2,2,3,3,1,1,3,1,5,5,1,2,2,3,3,2,1,1,3,5,2,5,3,0,0,0,1,1,5,7,BIO
91,43,0,0,15,1,3,2,3,2,4,2,3,1,3,2,3,3,5,3,3,1,1,5,4,1,1,2,4,2,2,3,5,1,3,3,2,1,3,1,2,3,2,3,1,5,2,1,2,1,2,2,2,1,3,2,1,1,2,1,1,4,2,3,1,2,3,1,1,2,1,1,1,0,0,4,8,TEE
92,24,1,2,4,3,3,1,1,2,3,3,3,1,2,2,1,1,3,3,5,1,5,3,4,2,1,1,2,2,5,5,5,1,2,1,1,2,1,1,3,3,3,1,1,5,3,2,2,1,3,2,4,1,1,2,3,2,3,2,1,1,1,2,3,4,1,2,1,1,1,1,0,1,1,1,13,CAA
93,40,1,4,6,1,2,3,1,1,5,2,1,2,2,3,3,3,2,2,1,1,4,3,5,2,2,1,3,3,5,5,4,2,1,1,2,1,2,2,2,1,5,2,3,4,3,1,2,3,1,2,4,2,3,2,2,3,2,1,3,1,3,1,2,2,1,2,1,3,1,1,1,0,0,4,1,DTJA
94,21,0,2,15,3,1,2,1,2,4,1,3,1,3,3,2,2,5,3,3,1,1,4,3,3,3,1,4,3,1,2,5,2,2,3,3,2,1,1,3,2,2,3,3,5,2,3,2,1,3,1,3,3,2,1,2,1,2,3,1,4,3,3,2,1,2,1,1,2,1,1,1,1,1,2,3,TEE
95,33,0,3,5,2,2,1,2,3,3,1,1,1,3,1,1,3,2,3,5,1,4,1,5,2,3,3,2,3,4,2,5,2,3,2,2,2,1,1,2,3,1,3,2,4,3,3,2,2,3,3,5,1,1,3,2,3,2,1,3,2,3,1,1,5,2,3,1,3,0,0,1,0,1,3,14,FIC
96,35,1,2,10,3,2,3,5,2,4,2,2,4,1,5,5,4,3,5,3,1,3,1,3,2,3,3,1,5,2,1,3,4,2,2,1,3,5,4,2,1,3,1,3,1,3,3,1,3,2,2,1,2,4,5,4,3,1,2,1,1,3,1,2,2,5,1,5,3,0,0,1,0,1,4,1,PIP
97,23,0,2,1,2,5,5,1,4,3,3,2,2,4,1,3,2,1,2,2,2,3,2,3,3,1,1,3,3,2,2,5,3,2,4,2,2,1,2,5,5,2,2,3,3,3,3,3,4,3,2,3,3,1,2,3,1,4,1,1,2,1,5,1,3,2,2,1,3,1,1,0,0,0,3,0,IMTICIA
98,37,0,3,6,1,1,3,1,2,5,3,3,1,1,3,1,2,2,2,3,1,5,2,5,3,3,2,2,1,4,5,3,2,2,2,1,2,2,1,2,1,5,1,3,5,1,3,2,1,1,3,5,1,3,3,1,2,3,2,1,1,1,1,3,3,2,2,1,2,0,0,0,1,1,0,5,DTJA
99,36,0,3,12,2,2,2,2,3,3,3,4,1,2,3,2,1,3,3,2,5,3,2,2,1,4,5,3,2,1,2,4,3,1,1,3,1,2,3,1,2,3,2,4,3,3,2,4,1,5,3,1,4,1,1,1,5,3,1,2,2,1,3,3,2,5,3,2,1,0,1,0,1,0,2,3,EMII
100,32,1,5,16,3,1,3,3,1,3,1,3,1,2,3,1,2,4,1,3,3,1,4,3,3,1,2,4,2,3,1,5,1,1,1,2,4,1,1,2,2,3,3,2,5,1,3,3,3,1,5,4,1,3,1,2,1,1,2,4,5,1,3,2,3,1,2,1,3,0,0,0,1,0,0,7,TEH
101,18,0,5,2,3,5,5,2,4,3,2,3,1,3,1,3,2,3,2,2,1,1,3,3,1,3,4,3,2,3,1,5,2,2,4,1,3,1,1,3,5,1,3,2,3,5,1,2,3,3,1,2,1,1,1,1,3,5,2,1,1,3,3,4,3,2,2,1,2,1,1,1,0,0,4,14,ESIIA
102,23,1,2,5,1,1,1,3,2,5,3,2,2,1,3,3,2,1,1,5,1,4,1,5,1,2,1,1,2,5,1,4,1,1,3,2,1,2,2,1,2,3,1,3,5,2,1,2,1,1,3,4,2,1,1,2,2,2,1,2,1,2,3,1,4,3,3,1,1,1,1,0,1,1,1,11,FIC
103,41,1,1,13,2,3,1,3,1,5,4,5,1,1,2,3,3,1,2,3,5,2,3,1,2,2,1,1,3,1,3,5,2,4,1,5,2,1,3,1,1,2,3,2,1,3,2,5,3,3,1,2,5,1,3,2,3,2,3,2,3,3,1,3,1,5,3,2,3,0,1,1,1,0,4,1,GCA
104,41,1,2,10,3,2,1,4,2,4,2,3,4,2,5,4,4,3,4,1,2,1,3,1,3,2,3,3,4,3,1,4,5,2,3,3,2,5,3,1,2,2,2,2,3,3,1,2,3,3,3,3,2,5,5,4,1,2,1,1,2,1,2,1,1,4,2,4,3,0,1,0,0,0,1,10,PIP
105,33,0,2,4,3,1,2,1,1,3,1,3,3,2,2,3,2,3,3,5,2,5,2,5,3,1,2,1,2,4,5,4,2,1,1,2,2,2,1,3,1,3,3,2,4,1,3,3,3,1,1,4,1,1,2,3,1,2,2,2,1,1,3,3,4,3,2,2,1,1,1,0,1,0,5,6,CAA
106,42,0,2,15,2,1,1,3,3,5,2,3,3,2,2,2,3,4,3,3,2,2,4,5,2,1,1,4,2,1,2,5,1,2,2,1,2,1,3,3,1,3,3,1,5,1,1,1,3,2,3,3,1,3,2,1,2,2,3,3,4,3,2,2,1,3,2,2,2,1,0,1,1,1,1,7,TEE
107,24,1,2,2,2,4,4,1,5,2,3,2,1,5,3,1,1,1,2,2,3,2,1,3,2,1,4,2,3,2,2,3,3,2,5,3,1,1,1,4,4,3,2,1,2,5,2,2,3,3,2,1,1,1,1,2,2,5,1,3,3,2,4,4,2,3,3,1,1,0,1,1,0,1,3,9,ESIIA
108,45,0,3,13,3,1,2,3,3,5,4,5,1,3,1,1,2,2,3,1,5,1,1,2,2,2,3,2,1,2,2,5,3,4,3,4,3,1,1,3,1,3,2,2,3,2,2,5,3,3,2,1,5,1,1,1,5,2,2,2,2,2,1,1,1,4,3,1,1,0,1,1,0,0,4,14,GCA
109,33,0,3,0,1,4,5,3,4,1,3,2,1,5,1,1,1,3,1,4,2,1,1,1,1,2,3,1,1,1,2,4,1,1,3,1,3,3,3,3,4,1,2,1,1,4,4,1,1,3,1,4,1,3,2,1,1,4,3,2,3,2,4,1,3,3,3,1,3,0,0,0,0,0,5,2,IGGLIA
110,41,0,1,0,3,5,4,2,5,3,1,2,3,3,1,2,2,2,1,4,2,1,2,1,2,1,3,1,2,2,3,4,3,3,3,1,2,2,1,4,4,2,3,3,2,5,5,1,3,2,2,5,1,1,2,3,2,4,1,3,2,3,3,2,2,3,3,3,1,0,0,1,1,0,4,14,IGGLIA
111,20,0,1,5,1,3,2,1,1,4,3,2,2,3,3,3,2,3,2,5,2,5,2,5,1,2,1,1,2,5,2,3,3,1,1,1,3,1,1,2,3,1,1,2,5,1,2,3,3,1,1,5,2,1,2,3,2,2,3,2,3,2,3,3,4,1,2,1,2,1,1,1,1,1,0,2,FIC
112,40,0,2,9,2,3,2,5,1,5,3,2,5,2,4,4,5,2,5,3,2,3,3,2,2,2,1,1,4,1,2,4,4,3,2,2,1,2,4,2,2,2,1,3,1,1,1,3,2,3,1,3,1,2,4,5,1,1,3,5,1,2,3,2,3,5,2,4,3,1,0,1,1,1,1,1,IAA
113,21,0,1,15,2,3,3,2,1,5,2,2,2,1,2,3,1,4,2,2,1,2,5,3,3,3,1,4,3,2,2,3,3,3,2,2,1,2,1,3,2,3,2,2,5,1,2,2,2,3,3,2,3,3,1,1,3,3,3,1,5,1,3,3,2,2,3,3,3,1,0,0,1,1,0,2,TEE
114,45,0,1,9,1,3,1,5,2,4,3,1,5,3,4,5,4,1,4,1,1,1,2,2,2,3,2,2,4,1,1,4,4,1,2,2,3,3,3,3,1,3,2,1,1,1,2,3,2,1,2,2,3,3,4,5,3,1,1,4,3,3,3,1,3,5,2,4,1,0,1,1,1,0,5,3,IAA
115,21,0,6,4,2,2,2,3,1,4,3,2,3,1,2,3,2,2,3,4,2,4,2,5,3,2,2,1,3,4,4,5,3,1,2,3,2,2,3,3,2,3,1,3,4,2,2,1,2,2,2,4,1,2,1,1,2,3,2,3,2,1,2,1,5,2,3,2,2,1,0,0,1,0,2,9,CAA
116,32,0,4,10,3,3,1,5,3,3,1,2,4,3,5,5,4,1,4,1,3,3,3,1,3,3,2,2,5,2,3,3,5,1,3,3,2,5,3,1,2,2,1,2,2,3,1,1,1,3,3,3,3,4,4,5,1,2,3,1,1,2,3,2,3,5,1,4,2,0,0,0,1,1,4,7,PIP
117,25,1,1,3,2,4,5,2,4,1,2,1,3,3,2,3,3,1,2,1,2,1,1,2,2,1,3,2,1,2,3,5,3,2,3,1,2,1,2,5,4,3,4,3,2,5,2,3,3,2,1,1,3,1,1,2,1,2,2,3,3,4,3,2,3,3,2,2,2,1,0,0,0,1,0,7,ISAIA
118,32,0,1,10,3,2,1,5,1,4,1,1,5,2,5,5,5,2,5,3,2,2,1,2,3,2,1,3,5,1,1,3,4,1,1,1,2,5,3,3,2,2,1,2,1,2,2,3,3,2,2,2,1,4,4,5,1,1,2,1,1,3,3,2,3,4,3,4,3,0,1,0,0,1,4,14,PIP
119,18,0,6,10,1,2,2,4,2,3,1,1,5,3,5,5,5,3,4,2,1,3,3,2,2,3,3,3,4,1,1,5,5,2,1,3,1,5,3,2,2,1,1,2,1,1,1,1,2,2,2,3,3,4,4,5,2,2,3,2,3,3,1,2,3,4,2,4,2,1,1,1,1,1,0,6,PIP
120,37,0,3,11,4,1,3,5,2,5,1,3,4,2,4,5,5,2,4,2,2,1,1,3,2,1,3,2,5,3,1,5,4,1,3,1,3,2,4,1,2,3,3,3,2,2,2,3,1,3,1,1,3,3,5,4,1,2,1,1,2,3,2,2,3,5,3,5,5,1,0,0,0,0,4,9,AEE
121,45,0,2,8,1,1,2,4,1,3,3,2,5,3,5,5,5,3,5,3,3,3,3,2,2,1,1,1,4,1,1,3,4,1,1,2,3,1,5,1,2,3,3,1,1,2,2,1,2,2,1,1,1,1,5,5,2,1,2,3,1,1,2,3,2,4,2,4,1,1,1,1,1,0,2,7,BIO
122,36,1,6,16,2,1,3,1,3,3,2,3,2,3,1,2,3,5,2,1,2,3,5,4,3,2,1,4,2,3,1,4,2,2,1,3,4,3,3,2,3,3,3,2,4,2,3,3,2,2,5,5,1,3,1,2,3,3,1,5,4,1,1,1,3,2,1,2,2,1,0,0,0,0,2,4,TEH
123,39,0,4,11,4,1,2,5,1,5,1,1,4,2,5,5,5,1,5,1,3,3,3,3,1,3,1,2,5,1,1,5,4,3,1,3,1,1,5,1,1,2,1,3,2,3,2,3,2,3,1,1,3,2,5,4,1,1,2,2,1,1,2,2,2,4,1,5,5,1,1,0,0,1,4,2,AEE
124,31,1,5,13,3,3,2,1,2,3,4,4,1,2,2,2,1,2,1,2,4,3,3,1,3,1,3,3,3,3,2,4,2,5,3,5,2,1,2,3,3,1,3,2,2,3,1,5,3,3,3,2,5,3,2,1,4,1,1,3,2,2,3,3,3,4,3,3,2,0,0,1,1,0,0,14,GCA
125,25,1,1,8,2,3,1,4,2,4,3,3,5,1,4,4,5,2,4,2,2,1,3,3,3,3,3,3,4,2,2,4,4,3,2,3,3,1,3,2,3,3,1,2,2,1,1,3,2,2,1,1,1,2,4,5,1,2,1,2,3,3,2,3,3,5,2,5,3,1,1,1,1,0,0,2,BIO
126,40,0,6,15,3,3,1,3,1,4,2,1,3,1,3,2,1,5,1,1,2,3,5,3,3,1,1,5,2,2,2,4,2,1,1,1,3,2,1,2,2,1,1,3,5,1,1,3,2,1,1,2,2,3,2,3,2,2,2,2,4,1,3,3,2,2,3,2,1,1,0,1,1,0,5,5,TEE
127,39,1,3,1,3,3,3,3,3,3,3,3,2,5,3,1,3,3,1,1,3,3,3,1,3,3,1,2,3,1,1,5,3,1,3,2,1,1,3,5,4,1,3,3,2,4,3,1,5,1,2,2,1,2,1,3,2,5,2,1,1,1,5,1,2,1,1,2,1,0,1,1,0,0,3,5,IMTICIA
128,18,1,1,5,1,2,1,2,2,4,2,1,1,1,1,3,3,1,2,5,1,5,1,5,2,3,2,1,2,4,2,5,1,1,2,3,3,3,1,1,3,3,1,2,5,2,1,3,3,1,1,5,3,1,1,3,2,3,2,1,1,2,3,2,4,1,1,2,2,1,1,1,0,1,0,11,FIC
129,27,0,3,2,1,5,5,2,4,1,3,3,2,5,2,3,2,3,2,2,1,3,2,2,1,2,5,1,3,1,3,3,3,2,3,1,3,1,2,5,5,3,2,2,3,3,3,3,1,3,1,3,2,3,1,2,2,5,2,1,3,1,3,5,2,1,2,1,1,0,1,1,0,0,4,10,ESIIA
130,43,1,1,9,2,2,1,5,2,5,3,3,4,1,4,5,4,2,5,1,3,1,3,3,3,3,3,3,4,1,3,3,4,1,2,3,1,3,5,2,1,3,1,3,3,3,3,2,3,3,2,1,2,3,4,5,2,2,2,4,3,3,2,2,2,4,3,4,1,1,1,1,1,0,2,5,IAA
131,36,1,6,2,1,5,4,1,3,1,1,2,2,3,3,3,1,1,2,2,1,3,3,2,2,1,4,2,1,2,1,4,3,1,3,3,3,2,1,5,4,3,1,1,1,3,2,2,3,1,1,1,2,1,2,3,3,5,1,1,3,1,5,4,2,2,2,1,3,1,0,0,1,1,2,6,ESIIA
132,28,0,3,3,1,4,5,2,5,1,1,1,1,5,3,1,3,1,3,1,3,3,2,2,2,2,3,3,2,1,1,3,1,1,3,2,3,2,3,5,4,2,4,1,2,4,3,2,2,2,1,3,3,3,3,1,1,1,3,3,1,5,4,1,1,3,1,1,2,0,1,1,1,1,3,6,ISAIA
133,23,0,5,10,1,2,1,4,3,3,3,1,5,3,4,4,5,3,5,3,2,1,2,1,1,2,1,1,5,1,3,3,4,2,2,1,3,5,3,1,1,1,2,1,1,2,3,1,2,3,1,1,1,4,4,5,1,1,3,1,2,3,1,2,1,5,2,4,2,1,0,1,0,0,0,14,PIP
134,43,0,2,4,3,2,2,3,2,5,1,1,3,3,1,3,2,1,2,4,1,5,1,5,1,3,1,2,3,4,4,5,2,3,3,2,2,3,2,1,2,3,2,3,5,3,2,2,2,3,2,4,1,1,1,2,1,2,1,2,2,2,3,1,5,2,3,1,1,0,1,1,1,0,3,7,CAA
135,37,0,2,16,2,2,2,2,2,4,2,1,1,2,1,2,3,4,2,1,2,3,4,4,1,1,1,4,2,1,3,3,2,1,3,2,5,2,3,3,2,1,3,3,4,3,3,3,2,1,5,5,2,2,2,3,3,1,2,4,5,1,1,3,3,1,2,1,3,1,1,1,0,1,4,6,TEH
136,24,0,5,13,1,2,1,3,1,4,4,5,3,2,2,1,2,2,3,2,5,2,3,1,3,1,1,1,2,3,3,5,3,5,2,4,2,1,3,2,1,2,1,2,3,2,3,4,1,1,1,3,4,1,3,3,4,1,1,1,1,2,2,1,1,5,3,3,1,1,0,1,0,0,1,14,GCA
137,30,0,0,13,3,2,2,3,1,4,4,4,1,2,2,3,3,2,1,3,5,3,1,3,3,3,2,2,1,1,1,4,1,5,3,4,3,2,3,2,2,2,3,1,3,1,2,5,2,2,3,3,5,2,3,1,4,1,1,3,3,2,2,2,3,4,3,3,1,1,0,0,0,1,4,8,GCA
138,39,1,3,9,3,1,2,5,3,3,2,1,4,3,5,5,5,1,5,1,3,1,2,1,1,3,3,3,5,2,2,5,5,1,2,1,1,2,3,3,1,2,3,3,2,2,2,1,1,3,3,1,3,2,4,5,2,1,1,4,3,1,1,2,1,5,1,4,3,0,1,0,1,1,0,11,IAA
139,39,0,2,1,1,5,5,3,5,3,3,1,2,5,2,2,1,3,1,1,2,1,1,2,1,1,1,1,2,1,1,4,1,3,5,1,1,1,3,3,5,1,1,2,3,3,2,2,4,3,1,3,2,2,1,1,1,4,2,2,1,1,4,3,2,1,2,1,2,0,0,1,1,0,0,3,IMTICIA
140,27,1,2,13,1,3,3,3,1,4,4,5,3,3,2,3,3,1,2,1,5,3,2,1,2,1,3,3,2,2,3,5,3,4,3,4,1,1,3,1,2,1,3,2,1,3,1,3,1,2,2,2,4,1,2,1,5,1,1,3,3,2,3,2,1,5,2,3,1,1,1,0,0,1,1,3,GCA
141,39,1,4,1,3,5,3,3,4,3,2,1,2,5,1,1,2,1,1,1,3,1,1,1,1,1,3,3,1,1,3,3,2,3,4,2,1,3,1,3,4,1,3,1,2,4,3,2,4,2,2,1,2,2,2,1,2,5,2,3,3,3,4,1,2,1,2,2,1,1,0,0,1,1,2,7,IMTICIA
142,30,0,2,9,2,1,3,5,1,3,1,1,4,3,5,5,5,2,5,3,2,2,2,2,3,3,1,2,4,1,2,5,4,1,2,2,3,2,5,3,2,3,3,2,3,1,3,2,2,3,1,1,2,1,5,4,3,3,3,4,2,3,2,3,1,5,1,4,1,0,0,1,1,0,3,3,IAA
143,23,1,1,13,2,3,3,3,2,5,5,5,3,1,1,3,3,2,1,2,4,3,2,3,2,1,1,2,1,1,1,5,2,5,3,5,3,2,1,1,2,1,3,1,1,2,1,5,1,2,3,1,4,1,1,3,3,1,2,2,2,3,3,1,3,4,1,2,1,1,0,1,0,1,0,3,GCA
144,33,0,0,15,1,2,1,3,3,3,1,1,3,1,2,3,3,5,2,2,2,3,5,4,2,3,2,5,1,2,3,4,2,3,1,2,2,1,1,2,3,2,3,1,4,3,1,3,2,3,1,2,2,3,3,3,2,3,2,3,4,1,3,2,1,3,2,1,3,1,1,0,1,1,4,12,TEE
145,29,0,6,2,2,5,5,1,5,2,2,3,1,5,1,3,3,3,3,1,1,2,1,2,3,3,5,1,2,1,2,5,3,1,3,1,1,3,3,3,3,2,3,1,1,4,2,2,1,3,2,3,2,3,1,3,1,5,1,3,2,1,5,4,3,2,2,3,3,1,1,0,0,1,0,1,ESIIA
146,20,0,3,3,1,5,3,3,4,1,2,2,3,5,1,2,1,3,3,1,2,2,2,2,3,1,3,3,3,3,1,3,2,1,5,2,2,1,2,3,4,3,5,1,3,4,1,3,3,3,1,3,2,2,3,3,1,2,3,3,2,4,4,2,3,2,1,2,1,0,0,0,0,1,4,4,ISAIA
147,18,0,1,5,3,2,2,2,2,3,3,3,2,2,3,1,3,3,2,4,1,5,3,4,3,2,2,3,1,4,2,5,2,2,1,1,1,3,1,3,3,1,2,3,4,3,1,2,2,3,1,4,1,2,2,1,1,1,3,3,2,3,2,1,5,1,1,1,1,1,1,1,0,1,4,12,FIC
148,42,0,4,2,2,4,5,3,4,2,1,1,1,3,1,2,3,3,3,1,1,3,3,3,2,2,4,3,1,2,2,5,3,2,4,3,1,1,2,3,5,3,1,2,3,3,2,3,3,3,2,1,3,3,3,3,3,4,1,3,1,1,5,4,1,3,2,2,1,0,0,0,0,0,3,13,ESIIA
149,20,1,2,1,2,5,3,2,5,1,1,2,1,5,2,3,3,2,1,3,2,3,2,3,2,3,3,3,1,3,1,5,1,1,3,1,1,2,1,3,5,3,1,3,2,4,1,3,5,1,3,2,2,2,3,1,2,5,1,2,3,2,5,1,3,1,1,3,3,1,0,1,0,1,4,5,IMTICIA
150,30,0,3,13,1,2,1,3,1,5,5,4,2,3,1,2,2,2,1,1,5,1,1,2,1,2,1,1,1,3,3,4,3,5,1,5,3,3,2,3,2,3,1,1,1,2,2,3,2,3,3,3,5,2,3,1,4,1,3,3,3,1,3,1,1,5,3,3,2,0,1,0,1,1,0,5,GCA
151,34,0,6,14,3,3,1,2,3,3,2,5,2,1,3,1,1,3,4,1,1,3,1,1,3,5,3,2,1,2,3,5,3,1,2,2,3,3,3,3,3,1,2,1,3,1,3,3,3,2,3,3,3,2,1,3,5,3,4,3,2,1,3,3,1,1,4,2,1,1,0,1,1,1,0,1,ICMP
152,39,0,2,10,1,2,2,5,2,4,1,1,5,1,5,4,5,3,5,1,2,1,3,2,2,2,2,1,4,2,3,3,5,2,1,1,2,5,3,1,3,3,1,2,1,2,1,1,3,2,1,2,2,5,5,5,2,1,3,2,1,2,3,2,1,4,2,5,1,1,0,0,0,1,0,6,PIP
153,41,0,0,13,3,1,2,3,2,3,5,5,3,2,3,3,1,2,2,3,5,1,1,1,1,1,1,2,3,1,3,3,1,5,2,4,2,2,2,2,2,1,2,1,3,1,3,5,1,1,2,1,5,3,1,3,4,1,2,3,1,3,3,3,3,4,1,3,3,0,0,0,0,1,0,3,GCA
154,31,0,1,4,1,2,2,3,2,5,3,1,1,2,2,2,1,3,2,4,2,4,2,5,2,2,3,2,1,5,4,3,1,1,1,3,3,2,1,2,2,2,3,1,5,1,2,2,2,2,2,4,1,3,1,3,3,1,2,2,3,2,3,3,5,1,3,2,1,1,0,0,0,0,0,14,CAA
155,24,1,5,6,1,3,3,2,2,5,2,1,3,3,1,1,1,1,2,3,3,5,3,5,2,2,3,3,1,5,4,4,2,3,3,1,1,3,2,3,1,5,1,3,4,3,1,3,2,2,3,4,1,2,3,2,3,2,2,3,2,1,1,1,1,3,1,3,3,0,1,1,1,0,1,4,DTJA
156,23,0,2,3,2,3,5,1,4,1,2,1,3,3,1,3,1,1,3,2,3,3,2,2,1,3,3,2,3,1,2,5,2,2,3,3,1,2,1,5,4,1,5,1,3,5,3,1,3,3,3,2,3,2,3,3,3,3,1,2,1,5,4,1,3,3,2,1,2,0,1,1,0,1,0,2,ISAIA
157,23,1,1,14,3,2,3,1,3,4,1,5,1,1,2,3,3,1,4,1,1,2,1,2,3,5,1,3,3,1,3,3,3,1,2,2,1,1,1,3,1,1,1,1,2,1,3,5,1,1,1,3,3,2,3,1,3,1,5,3,2,1,2,2,2,1,4,1,3,1,0,0,0,0,3,1,ICMP
158,44,0,0,16,1,1,1,2,2,3,2,3,2,1,3,2,3,4,2,1,1,1,4,4,2,1,3,5,1,2,1,3,3,1,1,2,5,3,1,3,2,1,3,3,5,3,2,2,1,2,5,5,2,3,1,1,1,3,1,5,4,2,2,3,2,1,1,3,2,1,0,0,1,0,0,6,TEH
159,28,0,2,11,5,3,3,5,1,5,1,2,5,3,5,5,4,2,4,3,3,2,3,3,3,3,1,3,4,1,2,3,4,1,2,3,2,1,3,1,2,2,1,2,2,1,3,2,1,1,1,1,3,1,4,4,2,3,1,3,2,2,1,3,1,4,2,4,4,0,1,0,0,0,0,9,AEE
160,22,1,2,13,1,3,3,3,2,4,5,5,2,3,3,1,2,1,1,1,4,3,1,3,1,1,2,2,3,2,3,5,2,5,3,4,2,1,2,1,3,2,1,3,1,2,3,3,1,2,1,3,4,3,2,2,4,3,3,2,2,1,1,2,3,5,1,2,1,0,0,1,1,0,1,2,GCA
161,20,0,0,3,2,3,5,1,5,1,1,2,1,5,3,1,3,2,1,1,2,1,2,1,2,2,2,3,1,2,2,5,2,1,5,3,1,2,2,5,5,1,4,1,3,4,2,3,1,2,1,1,3,2,1,3,1,3,1,1,3,4,5,1,3,3,3,3,3,1,1,0,1,1,2,13,ISAIA
162,19,1,4,13,2,1,1,3,3,3,4,5,1,1,1,2,3,1,2,1,5,2,1,2,1,1,2,3,2,2,1,3,1,5,2,5,2,2,3,1,1,3,2,1,2,2,2,4,3,3,1,2,5,3,3,2,4,1,3,2,3,2,2,3,1,4,3,1,3,0,0,0,1,1,0,6,GCA
